(.venv) C:\Users\hunter.mamawal\Classes\CS474_phase2\p4>python full_p4.py
All unit tests passed.
Testing NFAs with 1000 states...
  Trial 1/30: 0.003799 seconds
  Trial 2/30: 0.000072 seconds
  Trial 3/30: 0.000043 seconds
  Trial 4/30: 0.005215 seconds
  Trial 5/30: 0.004947 seconds
  Trial 6/30: 0.003128 seconds
  Trial 7/30: 0.003560 seconds
  Trial 8/30: 0.000024 seconds
  Trial 9/30: 0.005078 seconds
  Trial 10/30: 0.004959 seconds
  Trial 11/30: 0.000026 seconds
  Trial 12/30: 0.000027 seconds
  Trial 13/30: 0.003461 seconds
  Trial 14/30: 0.004102 seconds
  Trial 15/30: 0.004040 seconds
  Trial 16/30: 0.004974 seconds
  Trial 17/30: 0.000028 seconds
  Trial 18/30: 0.004984 seconds
  Trial 19/30: 0.003313 seconds
  Trial 20/30: 0.003669 seconds
  Trial 21/30: 0.000030 seconds
  Trial 22/30: 0.003526 seconds
  Trial 23/30: 0.000032 seconds
  Trial 24/30: 0.000019 seconds
  Trial 25/30: 0.000085 seconds
  Trial 26/30: 0.005270 seconds
  Trial 27/30: 0.000026 seconds
  Trial 28/30: 0.003815 seconds
  Trial 29/30: 0.000088 seconds
  Trial 30/30: 0.004081 seconds
Testing NFAs with 5000 states...
  Trial 1/30: 0.000038 seconds
  Trial 2/30: 0.039211 seconds
  Trial 3/30: 0.034110 seconds
  Trial 4/30: 0.029921 seconds
  Trial 5/30: 0.029405 seconds
  Trial 6/30: 0.000026 seconds
  Trial 7/30: 0.031513 seconds
  Trial 8/30: 0.037358 seconds
  Trial 9/30: 0.025073 seconds
  Trial 10/30: 0.000034 seconds
  Trial 11/30: 0.000025 seconds
  Trial 12/30: 0.000034 seconds
  Trial 13/30: 0.000027 seconds
  Trial 14/30: 0.000025 seconds
  Trial 15/30: 0.024037 seconds
  Trial 16/30: 0.021078 seconds
  Trial 17/30: 0.000077 seconds
  Trial 18/30: 0.036096 seconds
  Trial 19/30: 0.026361 seconds
  Trial 20/30: 0.028573 seconds
  Trial 21/30: 0.000060 seconds
  Trial 22/30: 0.024517 seconds
  Trial 23/30: 0.026221 seconds
  Trial 24/30: 0.000055 seconds
  Trial 25/30: 0.038498 seconds
  Trial 26/30: 0.027541 seconds
  Trial 27/30: 0.000025 seconds
  Trial 28/30: 0.000026 seconds
  Trial 29/30: 0.027673 seconds
  Trial 30/30: 0.030558 seconds
Testing NFAs with 10000 states...
  Trial 1/30: 0.078422 seconds
  Trial 2/30: 0.063102 seconds
  Trial 3/30: 0.076482 seconds
  Trial 4/30: 0.000030 seconds
  Trial 5/30: 0.000029 seconds
  Trial 6/30: 0.000039 seconds
  Trial 7/30: 0.000040 seconds
  Trial 8/30: 0.000048 seconds
  Trial 9/30: 0.059136 seconds
  Trial 10/30: 0.000042 seconds
  Trial 11/30: 0.075512 seconds
  Trial 12/30: 0.000076 seconds
  Trial 13/30: 0.000059 seconds
  Trial 14/30: 0.058240 seconds
  Trial 15/30: 0.000062 seconds
  Trial 16/30: 0.108495 seconds
  Trial 17/30: 0.077534 seconds
  Trial 18/30: 0.099013 seconds
  Trial 19/30: 0.000038 seconds
  Trial 20/30: 0.060301 seconds
  Trial 21/30: 0.072918 seconds
  Trial 22/30: 0.068499 seconds
  Trial 23/30: 0.076858 seconds
  Trial 24/30: 0.077897 seconds
  Trial 25/30: 0.053207 seconds
  Trial 26/30: 0.000057 seconds
  Trial 27/30: 0.000038 seconds
  Trial 28/30: 0.000047 seconds
  Trial 29/30: 0.079689 seconds
  Trial 30/30: 0.000040 seconds
Testing NFAs with 25000 states...
  Trial 1/30: 0.000039 seconds
  Trial 2/30: 0.000069 seconds
  Trial 3/30: 0.225332 seconds
  Trial 4/30: 0.000059 seconds
  Trial 5/30: 0.000038 seconds
  Trial 6/30: 0.253075 seconds
  Trial 7/30: 0.289096 seconds
  Trial 8/30: 0.000055 seconds
  Trial 9/30: 0.000062 seconds
  Trial 10/30: 0.275107 seconds
  Trial 11/30: 0.000094 seconds
  Trial 12/30: 0.295233 seconds
  Trial 13/30: 0.000058 seconds
  Trial 14/30: 0.000053 seconds
  Trial 15/30: 0.000054 seconds
  Trial 16/30: 0.000065 seconds
  Trial 17/30: 0.000039 seconds
  Trial 18/30: 0.000037 seconds
  Trial 19/30: 0.289192 seconds
  Trial 20/30: 0.302411 seconds
  Trial 21/30: 0.256795 seconds
  Trial 22/30: 0.000062 seconds
  Trial 23/30: 0.000036 seconds
  Trial 24/30: 0.000059 seconds
  Trial 25/30: 0.318515 seconds
  Trial 26/30: 0.277756 seconds
  Trial 27/30: 0.254384 seconds
  Trial 28/30: 0.000050 seconds
  Trial 29/30: 0.264509 seconds
  Trial 30/30: 0.000037 seconds
Testing NFAs with 50000 states...
  Trial 1/30: 0.524919 seconds
  Trial 2/30: 0.000048 seconds
  Trial 3/30: 0.653213 seconds
  Trial 4/30: 0.993798 seconds
  Trial 5/30: 1.020214 seconds
  Trial 6/30: 0.850922 seconds
  Trial 7/30: 0.000061 seconds
  Trial 8/30: 0.000065 seconds
  Trial 9/30: 0.710245 seconds
  Trial 10/30: 0.624346 seconds
  Trial 11/30: 0.000044 seconds
  Trial 12/30: 0.639862 seconds
  Trial 13/30: 0.000056 seconds
  Trial 14/30: 0.000038 seconds
  Trial 15/30: 0.544927 seconds
  Trial 16/30: 0.613348 seconds
  Trial 17/30: 0.647612 seconds
  Trial 18/30: 0.638889 seconds
  Trial 19/30: 0.000067 seconds
  Trial 20/30: 0.656738 seconds
  Trial 21/30: 0.579738 seconds
  Trial 22/30: 0.560333 seconds
  Trial 23/30: 0.000050 seconds
  Trial 24/30: 0.726120 seconds
  Trial 25/30: 0.000057 seconds
  Trial 26/30: 0.487810 seconds
  Trial 27/30: 0.570436 seconds
  Trial 28/30: 0.000067 seconds
  Trial 29/30: 0.639470 seconds
  Trial 30/30: 0.567524 seconds
Testing NFAs with 100000 states...
  Trial 1/30: 0.000050 seconds
  Trial 2/30: 0.000049 seconds
  Trial 3/30: 1.675447 seconds
  Trial 4/30: 1.370123 seconds
  Trial 5/30: 0.000048 seconds
  Trial 6/30: 0.000069 seconds
  Trial 7/30: 1.542990 seconds
  Trial 8/30: 1.592594 seconds
  Trial 9/30: 0.000079 seconds
  Trial 10/30: 1.714577 seconds
  Trial 11/30: 0.000062 seconds
  Trial 12/30: 0.000064 seconds
  Trial 13/30: 1.660969 seconds
  Trial 14/30: 0.000040 seconds
  Trial 15/30: 1.389305 seconds
  Trial 16/30: 0.000054 seconds
  Trial 17/30: 0.000045 seconds
  Trial 18/30: 0.000066 seconds
  Trial 19/30: 1.610324 seconds
  Trial 20/30: 0.000085 seconds
  Trial 21/30: 1.637399 seconds
  Trial 22/30: 1.514997 seconds
  Trial 23/30: 1.515746 seconds
  Trial 24/30: 0.000044 seconds
  Trial 25/30: 1.547044 seconds
  Trial 26/30: 1.377043 seconds
  Trial 27/30: 1.445613 seconds
  Trial 28/30: 0.000060 seconds
  Trial 29/30: 0.000042 seconds
  Trial 30/30: 1.499039 seconds
Testing NFAs with 250000 states...
